Step,KineticEnergy
8890,2.47983
8900,2.47651
8910,2.47352
8920,2.47054
8930,2.46774
8940,2.46533
8950,2.4639
8960,2.46493
8970,2.46832
8980,2.47349
8990,2.4805
9000,2.48967
9010,2.49898
9020,2.50634
9030,2.51235
9040,2.51735
9050,2.52194
9060,2.52716
9070,2.53338
9080,2.54184
9090,2.55388
9100,2.56933
9110,2.58795
9120,2.60677
9130,2.62282
9140,2.63309
9150,2.63638
9160,2.6343
9170,2.62931
9180,2.6227
9190,2.61441
9200,2.60406
9210,2.59139
9220,2.57667
9230,2.56106
9240,2.54385
9250,2.52634
9260,2.51104
9270,2.49773
9280,2.48726
9290,2.48066
9300,2.47743
9310,2.47744
9320,2.48021
9330,2.48762
9340,2.49861
9350,2.51244
9360,2.52875
9370,2.54635
9380,2.56225
9390,2.57545
9400,2.58583
9410,2.59301
9420,2.59636
9430,2.59628
9440,2.59377
9450,2.59085
9460,2.58903
9470,2.58904
9480,2.58942
9490,2.58845
9500,2.58409
9510,2.57617
9520,2.56348
9530,2.5438
9540,2.51803
9550,2.48836
9560,2.4576
9570,2.42839
9580,2.40465
9590,2.38919
9600,2.38326
9610,2.38674
9620,2.3983
9630,2.41666
9640,2.43935
9650,2.46118
9660,2.47851
9670,2.48966
9680,2.49343
9690,2.49159
9700,2.48654
9710,2.47986
9720,2.4725
9730,2.46611
9740,2.461
9750,2.45809
9760,2.4572
9770,2.45795
9780,2.46049
9790,2.46507
9800,2.47148
9810,2.47807
9820,2.4842
9830,2.48955
9840,2.4939
9850,2.4975
9860,2.50117
9870,2.50549
9880,2.50972
9890,2.51406
9900,2.51926
9910,2.52461
9920,2.52978
9930,2.53664
9940,2.54619
9950,2.55905
9960,2.57191
9970,2.58237
9980,2.58947
9990,2.59291
10000,2.59149
10010,2.58524
10020,2.57634
10030,2.5667
10040,2.55681
10050,2.54754
10060,2.54102
10070,2.5378
10080,2.5364
10090,2.53625
10100,2.53816
10110,2.54127
10120,2.54478
10130,2.5494
10140,2.556
10150,2.56373
10160,2.57253
10170,2.58358
10180,2.59733
10190,2.61287
10200,2.62951
10210,2.64714
10220,2.66499
10230,2.68082
10240,2.69091
10250,2.69303
10260,2.68591
10270,2.66891
10280,2.64315
10290,2.61059
10300,2.57428
10310,2.53741
10320,2.50312
10330,2.47247
10340,2.44692
10350,2.4286
10360,2.41856
10370,2.41771
10380,2.42599
10390,2.44042
10400,2.45898
10410,2.47993
10420,2.50196
10430,2.52511
10440,2.5503
10450,2.57688
10460,2.60405
10470,2.63544
10480,2.66298
10490,2.68635
10500,2.70243
10510,2.71468
10520,2.7209
10530,2.71821
10540,2.70782
10550,2.69153
10560,2.67314
10570,2.65499
10580,2.64049
10590,2.63203
10600,2.63139
10610,2.63738
10620,2.649
10630,2.66458
10640,2.68258
10650,2.70111
10660,2.71908
10670,2.73474
10680,2.74511
10690,2.75017
10700,2.75092
10710,2.74797
10720,2.74093
10730,2.73004
10740,2.71832
10750,2.7073
10760,2.69651
10770,2.68769
10780,2.68377
10790,2.68803
10800,2.69966
10810,2.71677
10820,2.73757
10830,2.75765
10840,2.77614
10850,2.7919
10860,2.80403
10870,2.81159
10880,2.81324
10890,2.80763
10900,2.79472
10910,2.77585
10920,2.75305
10930,2.72897
10940,2.70626
10950,2.68713
10960,2.67241
10970,2.66119
10980,2.65219
10990,2.64527
11000,2.64023
11010,2.63594
11020,2.63055
11030,2.62224
11040,2.60974
11050,2.59456
11060,2.57853
11070,2.56285
11080,2.54889
11090,2.53764
11100,2.53058
11110,2.52758
11120,2.52835
11130,2.5313
11140,2.535
11150,2.53878
11160,2.54337
11170,2.54909
11180,2.55578
11190,2.56411
11200,2.57291
11210,2.58143
11220,2.58851
11230,2.59407
11240,2.59909
11250,2.60394
11260,2.60752
11270,2.60925
11280,2.60838
11290,2.60502
11300,2.6001
11310,2.59528
11320,2.59225
11330,2.59042
11340,2.59015
11350,2.59142
11360,2.59528
11370,2.60135
11380,2.60881
11390,2.61681
11400,2.62417
11410,2.6289
11420,2.63
11430,2.62714
11440,2.61973
11450,2.60874
11460,2.59666
11470,2.5856
11480,2.57586
11490,2.56721
11500,2.55981
11510,2.55381
11520,2.54833
11530,2.54402
11540,2.54185
11550,2.54228
11560,2.54534
11570,2.55111
11580,2.5579
11590,2.5621
11600,2.56669
11610,2.56841
11620,2.57216
11630,2.57936
11640,2.58665
11650,2.59317
11660,2.59853
11670,2.60202
11680,2.60219
11690,2.59832
11700,2.59119
11710,2.57965
11720,2.56439
11730,2.5467
11740,2.52916
11750,2.51324
11760,2.50067
11770,2.49206
11780,2.48715
11790,2.48537
11800,2.4858
11810,2.48784
11820,2.49129
11830,2.49572
11840,2.49991
11850,2.50342
11860,2.50539
11870,2.50617
11880,2.50663
11890,2.50719
11900,2.5071
11910,2.50601
11920,2.50322
11930,2.49822
11940,2.49103
11950,2.4815
11960,2.46964
11970,2.45586
11980,2.44141
11990,2.42734
12000,2.41529
12010,2.40485
12020,2.39638
12030,2.39068
12040,2.38751
12050,2.38649
12060,2.38654
12070,2.38709
12080,2.38684
12090,2.38499
12100,2.38148
12110,2.37616
12120,2.36898
12130,2.36026
12140,2.35052
12150,2.34137
12160,2.33438
12170,2.32949
12180,2.32702
12190,2.32767
12200,2.33018
12210,2.33321
12220,2.33582
12230,2.33696
12240,2.3357
12250,2.33301
12260,2.33143
12270,2.33205
12280,2.33528
12290,2.3409
12300,2.34902
12310,2.35981
12320,2.37302
12330,2.38708
12340,2.40132
12350,2.41486
12360,2.426
12370,2.43286
12380,2.43452
12390,2.4311
12400,2.42323
12410,2.4117
12420,2.39696
12430,2.38134
12440,2.36647
12450,2.35339
12460,2.34546
12470,2.34332
12480,2.3474
12490,2.35608
12500,2.36846
12510,2.38412
12520,2.40135
12530,2.41744
12540,2.4316
